Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Pure Cotton Casual Shirt,Rs.2299,Rs.896,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24393406/2023/8/8/123f2cb6-69c8-4a21-95e6-7391d678eed11691438766846HighStarWomenWhiteClassicOpaqueCasualShirt1.jpg",https://www.myntra.comshirts/high+star/high-star-long-sleeves-solid-oversized-casual-shirt/24393406/buy,4.2,5.1k
Oversized Casual Shirt,Rs.2799,Rs.999,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26171658/2024/1/5/8d6f0dc9-8d98-448e-a9f7-2b7fa98fd2cb1704448975229-DL-Woman-Oversized-Spread-Collar-Cotton-Casual-Shirt-3641704-1.jpg",https://www.myntra.comshirts/dl+woman/dl-woman-oversized-crepe-casual-shirt/26171658/buy,4.2,1.9k
Spread Collar Casual Shirt,Rs.1899,Rs.588,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28219632/2024/3/12/2f53aaab-40e1-4c5b-8148-6ad150e5f4341710256687634CampusSutraMenClassicOpaqueCheckedCasualShirt2.jpg",https://www.myntra.comshirts/campus+sutra/campus-sutra-classic-self-design-spread-collar-casual-shirt/28219632/buy,4.3,4.6k
Slim Fit Casual Shirt,Rs.1299,Rs.441,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11780934/2020/4/3/1ed79c22-68b5-491a-b673-e91e4411d8aa1585905063620HIGHLANDERMenOliveGreenBlackSlimFitCheckedCasualShirt1.jpg",https://www.myntra.comshirts/highlander/highlander-men-olive-green--black-slim-fit-checked-casual-shirt/11780934/buy,4.2,31.8k
Men Slim Fit Casual Sustainable Shirt,Rs.2099,Rs.575,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/12/N9JXwusW_527a68db55844f32b7abfa2d18b2b77a.jpg",https://www.myntra.comshirts/mast+%26+harbour/mast--harbour-men-blue--white-slim-fit-striped-casual-sustainable-shirt/8717979/buy,4.3,27.6k
Men Cotton Casual Shirt,Rs.1399,Rs.517,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17091614/2022/2/18/779ac019-8b8c-48f7-9c5e-b3e2fe3004b01645166457327-Men-White-Casual-Shirt-5731645166456476-1.jpg",https://www.myntra.comshirts/roadster/roadster-men-white-classic-regular-fit-cotton-casual-shirt/17091614/buy,4.2,10.6k
Opaque Casual Shirt,Rs.599,Rs.545,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27302550/2024/6/28/b92bc613-d3f2-43c4-880b-bb15ea453ba11719557444331-INCLUD-Boys-Classic-Opaque-Striped-Casual-Shirt-778171955744-1.jpg",https://www.myntra.comshirts/includ/includ-boys-classic-opaque-striped-casual-shirt/27302550/buy,4.4,7
Opaque Casual Shirt,Rs.1999,Rs.599,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30175038/2024/7/10/ab754ca2-251c-413e-b4b6-1cca8062bded1720634289389HELLCATBoysOpaquePrintedCasualShirt1.jpg",https://www.myntra.comshirts/hellcat/hellcat-boys-opaque-printed-casual-shirt/30175038/buy,3.9,31
Slim Fit Casual Shirt,Rs.2495,Rs.973,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15533082/2023/2/10/02fd5910-6f17-4bda-ba8f-ddf698c5cac81676013985849THEBEARHOUSEMenPurpleSlimFitCasualShirt4.jpg",https://www.myntra.comshirts/the+bear+house/the-bear-house-men-purple-slim-fit-casual-shirt/15533082/buy,4.4,7.4k
Opaque Casual Shirt,Rs.2999,Rs.989,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24578692/2023/9/15/9f677357-4624-49a6-8ca9-9e2b9c58be541694775719690-Mast--Harbour-Men-Shirts-2931694775719259-1.jpg",https://www.myntra.comshirts/mast+%26+harbour/mast--harbour-men-standard-corduroy-cotton-casual-shirt/24578692/buy,4.3,2.2k
Men Slim Fit Casual Shirt,Rs.1449,Rs.318,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8614341/2022/11/24/f7368395-d7d9-4d7f-842a-a9e28d6358a51669290274750TheIndianGarageCoMenWhiteNavyBlueSlimFitCheckedCasualShirt1.jpg",https://www.myntra.comshirts/the+indian+garage+co/the-indian-garage-co-men-white--navy-blue-slim-fit-checked-casual-shirt/8614341/buy,4.2,553
Men Slim Fit Casual Shirt,Rs.1999,Rs.379,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21472036/2023/1/9/8f34cc68-2023-4a86-b7fd-17b52041e0491673259824002Shirts1.jpg",https://www.myntra.comshirts/highlander/highlander-men-checked-casual-slim-fit-shirt/21472036/buy,4.1,6.7k
Men Regular Fit Casual Shirt,Rs.1899,Rs.683,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10550756/2019/10/9/f1d5d270-01e0-460d-b539-cac7ae32dfb81570627190324-Mast--Harbour-Men-Shirts-8501570627188306-1.jpg",https://www.myntra.comshirts/mast+%26+harbour/mast--harbour-men-white--black-regular-fit-printed-casual-shirt/10550756/buy,4,496
